                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.36314,                0.27475,                0.81756,                0.47557,                0.47884,                  0.496,                0.31753,                  1.609,                 1.1407,                  1.495,             0.00056503,             0.00056503,             0.00056503
                     61,                0.35087,                0.26529,                0.81167,                0.44115,                0.47288,                0.47347,                0.29717,                 1.6112,                  1.184,                 1.5092,             0.00055578,             0.00055578,             0.00055578
                     62,                0.34916,                0.26483,                0.81219,                0.54471,                0.39242,                0.48232,                0.30481,                 1.5642,                 1.0554,                 1.4705,             0.00054652,             0.00054652,             0.00054652
                     63,                0.35009,                0.26367,                0.81441,                0.51574,                0.40454,                0.48504,                0.29838,                 1.5899,                 1.0786,                 1.4613,             0.00053727,             0.00053727,             0.00053727
                     64,                0.34251,                0.25729,                0.81266,                0.45237,                 0.4052,                 0.4538,                0.29323,                 1.5961,                 1.2013,                 1.5333,             0.00052802,             0.00052802,             0.00052802
                     65,                0.35712,                  0.271,                0.81607,                0.48067,                0.42544,                0.48197,                0.30478,                 1.5896,                 1.0665,                 1.4819,             0.00051876,             0.00051876,             0.00051876
                     66,                0.35015,                0.25875,                0.81023,                0.43333,                0.46649,                0.47734,                0.30399,                 1.5603,                 1.1263,                 1.5089,             0.00050951,             0.00050951,             0.00050951
                     67,                0.35555,                0.26209,                0.81273,                0.48052,                0.41733,                0.47235,                0.30616,                  1.585,                 1.1516,                 1.4874,             0.00050026,             0.00050026,             0.00050026
                     68,                0.34523,                0.26534,                0.81135,                0.45105,                0.48942,                0.48885,                0.30787,                 1.5701,                 1.1032,                 1.4598,               0.000491,               0.000491,               0.000491
                     69,                0.35359,                0.25914,                0.81015,                0.49259,                0.43585,                0.47603,                0.30329,                 1.5344,                 1.1183,                 1.4459,             0.00048175,             0.00048175,             0.00048175
                     70,                0.34308,                0.25149,                0.80661,                0.51111,                 0.4537,                0.47497,                0.31418,                 1.5334,                 1.1257,                 1.4824,             0.00047249,             0.00047249,             0.00047249
                     71,                 0.3438,                0.25254,                0.80772,                0.50103,                0.47062,                0.48767,                 0.2992,                 1.5707,                 1.0786,                 1.5125,             0.00046324,             0.00046324,             0.00046324
                     72,                0.33578,                0.25283,                0.81281,                0.51754,                0.45392,                0.48242,                0.31377,                 1.5712,                  1.122,                 1.4816,             0.00045399,             0.00045399,             0.00045399
                     73,                0.34692,                0.25766,                0.81396,                0.48571,                0.47222,                0.50227,                0.31736,                 1.5154,                 1.1139,                 1.4669,             0.00044473,             0.00044473,             0.00044473
                     74,                0.34537,                0.25734,                0.81111,                0.43493,                 0.4892,                0.49566,                0.31627,                 1.5514,                 1.0935,                 1.4579,             0.00043548,             0.00043548,             0.00043548
                     75,                0.33929,                0.25224,                0.81079,                0.46429,                0.47112,                0.48485,                 0.3088,                 1.5789,                 1.0685,                 1.4616,             0.00042623,             0.00042623,             0.00042623
                     76,                0.33356,                0.24687,                0.80425,                0.51565,                0.46627,                0.47355,                0.30602,                 1.5325,                  1.128,                 1.4441,             0.00041697,             0.00041697,             0.00041697
                     77,                 0.3348,                0.24824,                0.80729,                0.80621,                0.63228,                0.73706,                0.33284,                  1.554,                 1.1264,                 1.4472,             0.00040772,             0.00040772,             0.00040772
                     78,                0.33665,                0.25149,                0.80772,                0.48334,                0.43482,                0.46768,                0.30815,                 1.5696,                 1.1599,                 1.4937,             0.00039846,             0.00039846,             0.00039846
                     79,                0.32665,                0.24236,                0.80417,                0.51797,                0.44136,                0.48609,                0.31342,                 1.5305,                 1.1422,                 1.5103,             0.00038921,             0.00038921,             0.00038921
                     80,                0.33289,                0.24631,                0.80494,                0.49527,                0.44414,                0.48639,                0.30976,                 1.5546,                 1.1362,                 1.4866,             0.00037996,             0.00037996,             0.00037996
                     81,                0.32751,                0.24195,                0.80649,                0.50795,                0.47773,                0.51102,                0.31422,                 1.5993,                 1.0984,                 1.5403,              0.0003707,              0.0003707,              0.0003707
                     82,                0.32972,                0.24354,                 0.8058,                0.50313,                0.46583,                0.50111,                0.31643,                 1.5962,                 1.0985,                 1.5293,             0.00036145,             0.00036145,             0.00036145
                     83,                0.31999,                0.23755,                 0.8049,                0.46634,                0.47751,                0.48718,                0.30475,                 1.5999,                 1.0823,                 1.4949,              0.0003522,              0.0003522,              0.0003522
                     84,                0.32555,                0.23665,                0.80505,                0.82011,                0.65608,                0.75794,                0.33666,                 1.6369,                 1.0052,                 1.5052,             0.00034294,             0.00034294,             0.00034294
                     85,                0.31486,                0.23146,                0.80612,                0.80667,                0.63294,                0.74455,                0.34687,                 1.6699,                 1.1813,                 1.5634,             0.00033369,             0.00033369,             0.00033369
                     86,                0.31818,                 0.2314,                0.80347,                0.53844,                0.43541,                0.49093,                0.30256,                 1.6045,                 1.1187,                 1.5599,             0.00032444,             0.00032444,             0.00032444
                     87,                0.33706,                0.24224,                0.80319,                0.59008,                0.42306,                0.50573,                0.31785,                 1.5955,                 1.0017,                 1.5148,             0.00031518,             0.00031518,             0.00031518
                     88,                0.32233,                0.23714,                0.80375,                 0.8276,                 0.8168,                0.83746,                0.40919,                 1.6627,                 1.0613,                 1.5675,             0.00030593,             0.00030593,             0.00030593
                     89,                0.31708,                0.22686,                 0.8047,                 0.4919,                0.47614,                0.49676,                 0.3161,                 1.6468,                  1.061,                 1.5436,             0.00029667,             0.00029667,             0.00029667
                     90,                0.31404,                0.22835,                0.80423,                0.50066,                0.46296,                0.49044,                0.30279,                  1.646,                 1.1422,                 1.5047,             0.00028742,             0.00028742,             0.00028742
                     91,                0.31047,                0.22392,                0.80004,                0.47254,                0.48391,                0.50461,                0.30617,                 1.6332,                 1.0908,                 1.5717,             0.00027817,             0.00027817,             0.00027817
                     92,                0.30471,                 0.2185,                0.80116,                0.48394,                0.42879,                0.46403,                0.30671,                  1.555,                 1.0509,                 1.5083,             0.00026891,             0.00026891,             0.00026891
                     93,                0.32287,                0.22953,                0.80261,                0.49482,                0.46583,                0.49322,                0.31533,                 1.6044,                 1.0578,                 1.4726,             0.00025966,             0.00025966,             0.00025966
                     94,                0.30781,                0.21788,                0.80025,                0.47358,                0.46605,                0.46326,                0.29284,                 1.5748,                 1.0622,                 1.4869,             0.00025041,             0.00025041,             0.00025041
                     95,                0.31117,                0.22073,                0.79996,                0.49286,                0.43585,                0.46528,                 0.3076,                 1.5629,                 1.0418,                  1.489,             0.00024115,             0.00024115,             0.00024115
                     96,                0.31051,                0.22271,                 0.8051,                 0.4841,                0.44916,                0.47955,                0.30519,                 1.5921,                 1.0617,                 1.5023,              0.0002319,              0.0002319,              0.0002319
                     97,                0.31083,                0.21758,                 0.7985,                0.52163,                0.44978,                0.48961,                0.30502,                  1.608,                 1.0671,                  1.495,             0.00022264,             0.00022264,             0.00022264
                     98,                0.29759,                0.21369,                0.79946,                0.51072,                0.44709,                0.49113,                0.31701,                 1.5971,                 1.0487,                 1.5409,             0.00021339,             0.00021339,             0.00021339
                     99,                0.29739,                0.21033,                0.79819,                0.48144,                0.46627,                0.50317,                0.31092,                 1.5478,                 1.0889,                 1.4796,             0.00020414,             0.00020414,             0.00020414
                    100,                0.31234,                0.21758,                0.80146,                0.49205,                0.46605,                 0.4936,                0.30807,                   1.57,                 1.0951,                 1.5156,             0.00019488,             0.00019488,             0.00019488
                    101,                0.31353,                0.22177,                 0.8001,                0.48519,                0.42218,                0.47619,                0.30312,                 1.5662,                  1.103,                 1.4731,             0.00018563,             0.00018563,             0.00018563
